Sentence,Sentiment
ഹലോ.,neutral
ഹലോ.,neutral
"ഹലോ, ഈ നന്ദിനിയാണോ?",negative
"യെസ് , വേലു.",neutral
ആരാണ് ഇത്?,negative
ഞാൻ ടെലോ സോഫ്റ്റ്‌വെയർ നിന്ന് വിളിക്കുന്നു.,very positive
"യെസ് , എന്നോട് പറയുക.",neutral
ഓക്കെ .,neutral
നിങ്ങൾ ഉപയോക്താവിൽ നിന്ന് ബന്ധപ്പെട്ടിട്ടുണ്ടോ?,negative
"യെസ് , എനിക്ക് ഉണ്ട്.",very positive
ഓക്കെ .,neutral
ഏത് അരുവിയാണ് നിങ്ങൾ നോക്കിയത്?,negative
ഞാൻ അത് ഉറപ്പായിട്ടില്ല.,negative
വീട്ടിൽ ഇരിക്കുമ്പോൾ അത് നോക്കാൻ ഞാൻ നിങ്ങളോട് പറഞ്ഞു.,negative
ഓക്കെ .,neutral
ഓക്കെ .,neutral
ഏത് വിഷയമാണ് നിങ്ങൾ പഠിച്ചത്?,neutral
ഞാൻ b.sc.,neutral
ഫിസിക്സ്.,very positive
B.SC.,neutral
ഫിസിക്സ്.,very positive
ഓക്കെ .,neutral
"അതിനാൽ, ഏത് ചട്ടക്കൂടുകളും നിങ്ങൾക്കറിയാവുന്ന കാര്യങ്ങളും?",neutral
എന്ത്?,negative
"ചട്ടക്കൂട്, ജാവ, സി ++, ഭാഷകൾ മുതലായവ.",very positive
"സി, സി ++ എന്നിവ ഞങ്ങളുടെ സിലബസിൽ ഉണ്ടായിരുന്നു.",very positive
എനിക്ക് കുറച്ച് അടിസ്ഥാന കാര്യങ്ങൾ അറിയാം.,neutral
ഓക്കെ .,neutral
ഓക്കെ .,neutral
"അതിനാൽ, നിങ്ങൾ അത് ഒരു കോഴ്സായി നോക്കുകയാണോ?",neutral
നിങ്ങൾക്ക് എന്തെങ്കിലും പ്രത്യേക സംയോജനം വേണോ?,negative
ഞാൻ ഇതുവരെ തീരുമാനിച്പ്ലാൻില്ല.,negative
ഞാൻ അത് നോക്കുമ്പോൾ ഞാൻ ഒരു കോഴ്സ് നൽകിയിരുന്നു.,negative
"അതിനാൽ, ഞങ്ങൾ ലാബ് പ്രോജക്റ്റിൽ തിരക്കിലായിരുന്നു.",negative
അത് നോക്കാനും പറയാനും ഞാൻ നിങ്ങളോട് പറഞ്ഞു.,very positive
ഓക്കെ .,neutral
ഓക്കെ .,neutral
നിങ്ങൾക്ക് ഒരു അപ്ഡേറ്റ് നൽകാൻ ഞാൻ ആഗ്രഹിച്ചു.,negative
നിങ്ങൾ ഉപയോക്താവിൽ നിന്ന് വിളിച്ചിരുന്നു.,negative
യെസ് .,neutral
യെസ് .,neutral
ഓക്കെ .,neutral
"നിങ്ങൾ ഒരു കോൺഫർമേഷൻ നൽകിയിരുന്നെങ്കിൽ, അത് നല്ലതാകുമായിരുന്നു.",negative
"അങ്ങനെയാണെങ്കിൽ, ഞാൻ ഇപ്പോൾ സാഹചര്യം നോക്കുന്നില്ല.",negative
"അങ്ങനെയാണെങ്കിൽ, അത് ഒരു മാസം എടുക്കും.",negative
ഓക്കെ .,neutral
"അത് നിങ്ങൾക്കായിരിക്കും, അല്ലേ?",negative
യെസ് .,neutral
യെസ് .,neutral
ഓക്കെ .,neutral
നന്ദി.,very positive
ഓക്കെ .,neutral
